id,x,y,deg
001_0,s-85.931793975701879,s37.513778626519226,s134.999999999999488
002_0,s-4.771116268038815,s0.928559901613278,s23.629377730552051
002_1,s-4.462922128796255,s1.451478416224009,s203.629377730552051
003_0,s0.893768554246393,s0.907326545083292,s112.198045429206999
003_1,s0.995180802859443,s1.394899206545497,s66.370622257568002
003_2,s0.402923313166611,s1.299319538288991,s155.127455319061539
004_0,s0.266333071928346,s0.224004216332798,s336.370620958906784
004_1,s0.256939654887012,s1.088224178951664,s156.370620958030145
004_2,s0.897041793594889,s1.088224179155913,s156.370619947854863
004_3,s0.906435195133381,s0.224004216122597,s336.370619946273450
005_0,s1.211062073666117,s0.391559865767897,s112.573508954238008
005_1,s0.814880800336791,s0.608636797886035,s66.358803175901627
005_2,s1.094599467414917,s1.250151308794678,s203.079971345890357
005_3,s0.289823797960075,s1.191411546845741,s293.629377729977818
005_4,s0.301492356813133,s0.281667015402387,s23.629377881029864
006_0,s0.592410729344292,s0.646860483646440,s338.872325448110075
006_1,s0.199442198127908,s1.126329133769797,s293.629377869416885
006_2,s0.306804385929483,s0.277752839958271,s23.629377725075649
006_3,s1.208114997988559,s1.233394736059546,s158.872325446305126
006_4,s1.208115375724462,s0.344145776810605,s338.872149038388329
006_5,s0.666428107273006,s0.219200753497652,s246.370623144671356
007_0,s0.699694659528736,s0.312008015255508,s213.521611664291413
007_1,s1.448428984385469,s0.982558526748517,s65.196016667904019
007_2,s0.361658486071214,s0.367093585202713,s27.817036818245207
007_3,s0.201568455074565,s-0.020552861247188,s252.818687634180918
007_4,s0.457289831733228,s1.106283528106213,s207.817036818421599
007_5,s1.340788447549587,s-0.116045923351405,s336.370622253389456
007_6,s1.230453085863000,s0.424616460531427,s37.461570034577335
008_0,s0.401764781481758,s-0.236021275345773,s305.401492382613299
008_1,s1.641412265387024,s-0.288414407640960,s336.370606326103825
008_2,s1.755597364604072,s0.960171571894398,s125.401488315734284
008_3,s1.256610417152310,s-0.057869492185316,s125.401488359242364
008_4,s0.847384722622613,s0.511867465127354,s125.401492734518257
008_5,s0.900751736790311,s0.782019784381666,s305.401488313584593
008_6,s0.515949945242098,s1.012564746014641,s156.370602729498216
008_7,s1.309977391854020,s0.212282872619303,s305.401488312636104
009_0,s0.619820023765005,s1.407095500342738,s204.793699851619522
009_1,s1.572680337125604,s0.633750201513336,s113.629377730005743
009_2,s0.963351248007549,s1.624294092802515,s249.884959126927356
009_3,s1.368730537336998,s1.859720549389099,s293.629377724960989
009_4,s1.848707180497746,s1.447423849446983,s336.370622277696157
009_5,s1.283811671573458,s1.163766272802551,s154.944769358544079
009_6,s0.633507949653685,s0.529434471117862,s24.429779039075537
009_7,s1.824576916701477,s1.034984148766377,s205.529875130163532
009_8,s0.514412503259848,s1.819598722561204,s296.805806671581024
010_0,s0.179198732325925,s0.204876447786655,s23.629370672664692
010_1,s1.016213022377197,s1.587836702847921,s290.150442094212792
010_2,s1.060715970324452,s0.660957740946589,s292.608283546147675
010_3,s0.625720846420465,s0.656868827098594,s70.421619017327245
010_4,s0.662486717986161,s1.259405991581361,s246.345882849138974
010_5,s0.981795473723938,s0.320869393018037,s115.558956909542147
010_6,s1.473356905177204,s0.189294867170326,s338.605944947048897
010_7,s0.591330659625574,s1.595441425551517,s66.345824841210614
010_8,s0.213810431026178,s1.103607596227475,s21.400711414949928
010_9,s1.477202485941190,s1.161617796258901,s336.262530470473791
011_0,s1.062981050130239,s-0.316848302146341,s340.767203394771684
011_1,s0.681205020840191,s0.162217896473788,s297.088722498438301
011_2,s0.660869580232120,s1.181160678131214,s293.691557728521445
011_3,s-0.318135857529598,s-0.317110649079637,s23.689153470283159
011_4,s0.234745583459568,s1.181955646385566,s66.370723645747148
011_5,s0.624290830896190,s-0.171889379129063,s116.623614770845606
011_6,s1.066135975296350,s0.708449172280382,s339.256344181926409
011_7,s-0.302479159825290,s0.540273882104492,s203.689153884731496
011_8,s0.300284127192003,s0.822619768222542,s242.099569076262497
011_9,s-0.254763717577690,s0.801229922916850,s28.750054449120899
011_10,s0.318586564905946,s0.357079794996694,s158.222678979048993
012_0,s0.726207364107513,s0.823980019380008,s296.937194026714565
012_1,s1.346685496938375,s1.476960000571711,s116.938340453250674
012_2,s1.804880222505954,s0.262054180124404,s336.370622270414344
012_3,s1.795926425794921,s1.335900390316277,s340.345751488373935
012_4,s0.849576357294693,s0.409977246290611,s116.074840965688793
012_5,s0.345150697851605,s0.775477026894846,s155.284392393590139
012_6,s0.322754831926936,s1.079570733644309,s333.087928398607289
012_7,s1.095152489953512,s0.363153241352893,s296.074920081022299
012_8,s1.732413545546241,s1.009455349840718,s114.487153729796930
012_9,s1.406658879700169,s1.812613656099073,s296.025944356152593
012_10,s0.372757134589980,s1.951350392262782,s153.087928773815349
012_11,s0.953881099505260,s1.950129072595561,s161.122966209402676
013_0,s1.994616639466060,s1.810337685903328,s113.629662480787445
013_1,s1.134870103814134,s1.562152291462595,s115.749075451793558
013_2,s1.994320454585235,s0.347834280493141,s111.112798682378767
013_3,s0.774718975493035,s1.900719681331846,s66.370623756423342
013_4,s1.207928221797673,s1.900716048093804,s293.629662452305581
013_5,s1.178022026830752,s0.971319778242054,s106.140756731403599
013_6,s0.220915519023996,s0.386093962393851,s294.664772644127481
013_7,s0.221361852189328,s0.948423234000909,s288.779716622865294
013_8,s1.522257700351845,s0.757339643399527,s156.927767495707798
013_9,s1.050870963673101,s0.355175427717510,s114.664772643731652
013_10,s0.336889401832854,s1.445999608320470,s19.936445682938821
013_11,s1.329073589262658,s1.182164424847925,s289.192550886377603
013_12,s1.861560310968628,s0.833649332092494,s334.345861603079470
014_0,s0.684758924505068,s1.826998712977812,s301.085062851179714
014_1,s1.095037849969754,s1.622205933595863,s256.085148686759055
014_2,s0.626193877301918,s1.521899596799403,s128.121037721854805
014_3,s1.000534213159798,s0.266178421234541,s61.126020432991524
014_4,s1.970147641862591,s0.145559244576698,s17.170832347638196
014_5,s1.547010649634514,s1.167865287451859,s157.352526746549586
014_6,s0.317482215098797,s0.145619486600773,s23.629377726031130
014_7,s0.317482216254084,s2.026754292423948,s156.370622385615320
014_8,s1.508001329165029,s1.918450989585756,s293.242104241831441
014_9,s1.979329394073058,s1.073667386342795,s201.690293984421089
014_10,s0.934113128085146,s1.250948324497643,s202.301852417544524
014_11,s0.404100083287611,s0.940214168354757,s241.126622485980931
014_12,s1.343243932900785,s0.162852294514493,s331.127374134718991
014_13,s1.983892332440551,s1.499461805873059,s336.370726041480452
015_0,s-1.297937771166432,s1.983895899498889,s113.981115656423810
015_1,s-0.397125021395275,s2.075677453345506,s66.370622572603679
015_2,s-1.618980067965670,s1.014765352007529,s228.686004800375116
015_3,s-2.095040901899463,s2.068704802752943,s293.969572925213868
015_4,s-0.668992359531196,s0.694424857294841,s148.629489950066784
015_5,s-1.989149839934180,s0.818146190760858,s23.629280197734488
015_6,s-0.245508340675847,s1.552562019105888,s336.369773916697625
015_7,s-0.340689089730693,s0.728853785181015,s328.680602782757603
015_8,s-2.096512259402223,s0.334569113966507,s293.629349527016245
015_9,s-0.153130433052689,s0.346073340358547,s112.269428316735386
015_10,s-0.830095820113449,s1.081134958481634,s287.558284670583873
015_11,s-0.804353442786270,s1.603870373604742,s20.738972698812702
015_12,s-1.225734990601275,s0.332024917581561,s113.629349914033099
015_13,s-1.657021939523273,s1.318708024807529,s54.684279426915246
015_14,s-1.224494527270206,s1.464922552357773,s189.185135155786043
016_0,s2.235034085919364,s1.569544632138021,s66.119951144433699
016_1,s0.212623366326289,s0.391961251480006,s247.507632127994526
016_2,s1.340112089099956,s0.451804224349851,s246.090849215838603
016_3,s0.212385952051953,s1.016755162847023,s246.119936173398770
016_4,s1.101789694167220,s1.559725767726158,s66.119945450039040
016_5,s0.212379551784598,s2.195083530911374,s246.090327193873037
016_6,s1.354572264216280,s2.194336472349609,s247.508229786021161
016_7,s1.345630485070801,s1.026573432914741,s246.119928216529189
016_8,s2.235033725897433,s0.980815255917554,s66.119925305217222
016_9,s1.107303457741517,s2.134491829855997,s66.090329024392616
016_10,s1.345392190922113,s1.615920363798063,s246.119951122714014
016_11,s2.235040297728205,s0.391211395703117,s66.090868807936872
016_12,s2.234796619030087,s2.194336414680745,s67.508222825880281
016_13,s1.092846087708897,s0.391959977949384,s67.507786316553577
016_14,s1.102027951803176,s0.970378907714711,s66.119935106600380
016_15,s0.212386624133369,s1.605483310801931,s246.119945469499328
017_0,s2.190158475316343,s1.701099842842049,s336.370610890572095
017_1,s1.211645393460326,s2.228236901218886,s174.986917676798669
017_2,s2.303501070434696,s0.231985253938395,s55.507696124965150
017_3,s1.147708849084073,s0.246556772407090,s113.629367085860125
017_4,s0.760257948161676,s1.310834501034702,s343.987481132700395
017_5,s1.457324738664925,s0.378938105241015,s235.507696138492292
017_6,s0.735615530354514,s2.113370296078713,s66.370609373156128
017_7,s1.420696358223565,s1.342251544403551,s354.986928939558993
017_8,s0.370845185751997,s1.612860317380532,s24.340410171640286
017_9,s1.167378879575990,s1.163483079783546,s174.818001160971335
017_10,s1.715158476355634,s2.108883494941749,s291.724020212861831
017_11,s2.187824350677682,s0.770404681165843,s336.221892295562895
