id,x,y,deg
001_0,s-51.739065428192063,s33.396858594874345,s45.000000000000000
002_0,s-5.311367451460042,s2.470341332568612,s44.999999999830735
002_1,s-5.311367451460042,s2.470341332568612,s-nan
003_0,s0.676583156710393,s1.220433789439918,s155.134051937100821
003_1,s1.268924212323479,s1.315974723490297,s66.370622269343002
003_2,s1.166348979793185,s0.823969349432162,s111.125132292892999
004_0,s0.266333071950948,s0.224004216355669,s336.370620962692499
004_1,s0.256939654824992,s1.088224178946782,s156.370620963028216
004_2,s0.897041793590055,s1.088224179155530,s156.370619948044521
004_3,s0.906435195141472,s0.224004216141596,s336.370619948263425
005_0,s1.211062068040311,s0.391559871397191,s112.573507994709587
005_1,s0.814880777964053,s0.608636770094638,s66.358799298425026
005_2,s1.096737047338992,s1.225730988204425,s203.823558998582257
005_3,s0.289823797349937,s1.191411545456307,s293.629377730658405
005_4,s0.301492354142151,s0.281667018797997,s23.629377728769455
006_0,s0.592410732554018,s0.646860479072333,s338.872327710121624
006_1,s0.199442207502424,s1.126329124141673,s293.629377946414706
006_2,s0.306804395210012,s0.277752831247183,s23.629377730393635
006_3,s1.208114978670028,s1.233394730829902,s158.872327710316910
006_4,s1.208115223135569,s0.344145971394000,s338.872216650930170
006_5,s0.666428166755955,s0.219200765556773,s246.370622269181695
007_0,s0.699694618435945,s0.312008116660514,s213.521607303824766
007_1,s1.448429203775142,s0.982558827014400,s65.196053135305434
007_2,s0.361658377680485,s0.367093616310478,s27.817041503613709
007_3,s0.201568314992081,s-0.020552579795833,s252.818706671373548
007_4,s0.457289682164734,s1.106283551126809,s207.817041508361285
007_5,s1.340788233634294,s-0.116044018632643,s336.370622193037718
007_6,s1.230450819542439,s0.424616491497367,s37.461480577684021
008_0,s0.401764781131853,s-0.236021276496130,s305.401492520511511
008_1,s1.641412306017660,s-0.288414236941688,s336.370638315088456
008_2,s1.755597364705156,s0.960171572812806,s125.401488372016530
008_3,s1.256610417014011,s-0.057869490796326,s125.401488474581811
008_4,s0.847384714271662,s0.511867474742440,s125.401493722672029
008_5,s1.309977392287332,s0.212282872911582,s305.401488380614751
008_6,s0.515949789889871,s1.012564596682935,s156.370612340388988
008_7,s0.900751736758683,s0.782019783925589,s305.401488371975177
009_0,s0.619820029242751,s1.407095492548442,s204.793702070174390
009_1,s1.572680393817011,s0.633750216459702,s113.629377730587166
009_2,s0.963351248249356,s1.624294096747464,s249.884958489159658
009_3,s1.368730539699751,s1.859720544298310,s293.629377733130866
009_4,s1.848707171619531,s1.447423815612344,s336.370622266610098
009_5,s1.283811702022039,s1.163766277810659,s154.944769653948185
009_6,s0.633825113950616,s0.529686913655835,s24.429785564494924
009_7,s1.824577154193228,s1.034983968880140,s205.529855574648025
009_8,s0.514412521958094,s1.819599327374846,s296.805790846450464
010_0,s0.179198711696919,s0.204876311783556,s23.629375253544112
010_1,s1.016212698431365,s1.587837030418868,s290.150573025732967
010_2,s1.060716004846985,s0.660957739618659,s292.608284256364129
010_3,s0.625720755787154,s0.656868890932806,s70.421613221540767
010_4,s0.662486690718964,s1.259406000796151,s246.345882059321724
010_5,s0.981795455881384,s0.320869499033352,s115.558970117526343
010_6,s1.473356933572639,s0.189294865307889,s338.605945545181669
010_7,s0.591330546732994,s1.595441275283264,s66.345809014459206
010_8,s0.213809752091962,s1.103607691665949,s21.400729657148275
010_9,s1.477202520935693,s1.161617812342166,s336.262530809343218
011_0,s1.062980705934954,s-0.316848051768426,s340.767182835840686
011_1,s0.681205221233603,s0.162217680042021,s297.088754180904800
011_2,s0.660869563202483,s1.181160649622523,s293.691559428178948
011_3,s-0.318135955558826,s-0.317110652976603,s23.689148155893324
011_4,s0.234745581512648,s1.181955656562611,s66.370720279458880
011_5,s0.624290644235729,s-0.171889133433905,s116.623628582456575
011_6,s1.066135945275809,s0.708449148496675,s339.256347365377280
011_7,s-0.302479177969668,s0.540273878180541,s203.689149160593729
011_8,s0.300284081314962,s0.822619740553835,s242.099569195650361
011_9,s-0.254763727395750,s0.801229935538007,s28.750056068701582
011_10,s0.318586439079957,s0.357079758559355,s158.222678127996545
012_0,s0.726207387829118,s0.823979888547181,s296.937191013699760
012_1,s1.346685400728149,s1.476960015228342,s116.938339313083304
012_2,s1.804880213862365,s0.262054168276490,s336.370622295574037
012_3,s1.795926465525260,s1.335900499278460,s340.345736761748640
012_4,s0.849576354851613,s0.409977251894951,s116.074838802863226
012_5,s0.345150700850070,s0.775477032349214,s155.284392956905776
012_6,s0.322754823637254,s1.079570705530012,s333.087921881556895
012_7,s1.095152496455412,s0.363153243251908,s296.074920974611530
012_8,s1.732413472969415,s1.009455427013143,s114.487200077809476
012_9,s1.406658655692988,s1.812613535529882,s296.025944833113783
012_10,s0.372757216260550,s1.951350363958292,s153.087923077598731
012_11,s0.953881096053759,s1.950129092338922,s161.122966709271481
013_0,s1.994616644274547,s1.810337691279114,s113.629662332724735
013_1,s1.134870100727873,s1.562152290409824,s115.749075328651685
013_2,s1.994320453468479,s0.347834281130020,s111.112798378798416
013_3,s0.774718959309468,s1.900719687589578,s66.370622309800453
013_4,s1.207928219268557,s1.900716047685432,s293.629662296781532
013_5,s1.178022030044471,s0.971319778736464,s106.140756612152614
013_6,s0.220915520359182,s0.386093964468358,s294.664772570877062
013_7,s0.221361852994701,s0.948423234668945,s288.779716396734727
013_8,s1.522257701045708,s0.757339645629894,s156.927767280593969
013_9,s1.050870963302065,s0.355175426872826,s114.664772567323681
013_10,s0.336889402101744,s1.445999612362648,s19.936445756212677
013_11,s1.329073578656393,s1.182164420404663,s289.192552138581277
