id,x,y,deg
001_0,s-36.758630055291647,s18.145025990862031,s45.000000000000000
002_0,s-4.771116268038815,s0.928559901613278,s23.629377730552051
002_1,s-4.462922128796255,s1.451478416224009,s203.629377730552051
003_0,s0.676583156710393,s1.220433789439918,s155.134051937100821
003_1,s1.268924212323479,s1.315974723490297,s66.370622269343002
003_2,s1.166348979793185,s0.823969349432162,s111.125132292892999
004_0,s0.253243597161993,s1.076042726985243,s156.370350824474770
004_1,s0.262630849450439,s0.211820716928512,s336.370350673561120
004_2,s0.893348411504504,s1.076042841275681,s156.369769902615388
004_3,s0.902726758513724,s0.211820593926904,s336.369770212959338
005_0,s0.816675055871583,s0.608151205030590,s66.359039510424623
005_1,s0.291616722166380,s1.190924344248445,s293.629377730651754
005_2,s1.212855472475245,s0.391072038102859,s112.573665381453637
005_3,s0.303285380616470,s0.281179455313262,s23.629377882926093
005_4,s0.999729958372054,s1.174030927329134,s212.193136004184453
006_0,s0.638848453365315,s0.237422816857546,s246.370625539015521
006_1,s1.180541271525877,s0.362361609188372,s338.871490740248987
006_2,s0.564838730280456,s0.665083083598206,s338.872754394919923
006_3,s1.180538725678941,s1.251618056141034,s158.872757412533105
006_4,s0.279227689395863,s0.295976224111010,s23.629385121848234
006_5,s0.171865069724639,s1.144548146932011,s293.629750386443845
007_0,s0.190768603275715,s-0.011697399826253,s252.887049761711154
007_1,s1.437646084890763,s0.991179341166463,s65.188689072146502
007_2,s1.330009039236949,s-0.107396874905850,s336.370622877378310
007_3,s1.219700052838799,s0.433210013659674,s37.508144765974478
007_4,s0.446511234426096,s1.115020044037797,s207.814693546108856
007_5,s0.688917267331876,s0.320755178695944,s213.519769148861741
007_6,s0.350845877072540,s0.375836112860980,s27.814660720592133
008_0,s1.299279392492623,s0.262790661022409,s305.399570577250984
008_1,s0.890068619600851,s0.832560487800460,s305.399145239065149
008_2,s1.744912968581339,s1.010662048460083,s125.399495252797422
008_3,s1.245923024706889,s-0.007394392848338,s125.398716534174099
008_4,s0.391077514450919,s-0.185490493812410,s305.398793026282306
008_5,s0.836713831278046,s0.562377606530075,s125.399145724243098
008_6,s1.630726818023088,s-0.237946268246579,s336.371045997060094
008_7,s0.505264819995329,s1.063084217947578,s156.371712590988608
009_0,s1.824438363772523,s1.417525063685922,s336.370621044338236
009_1,s1.535632905923788,s0.620751388875191,s113.629379210204689
009_2,s1.260185815903940,s1.156140120747387,s154.451839433760711
009_3,s0.602362535129588,s0.513456104956865,s23.421546863347352
009_4,s1.784757359817189,s1.014353238422756,s206.770593909018004
009_5,s1.351092177156659,s1.846764610891571,s293.629215894646222
009_6,s0.596406043154535,s1.401902053692914,s204.440724837008304
009_7,s0.490481597178806,s1.819368604189313,s295.788914047320930
009_8,s0.940989058563287,s1.617084121160009,s249.759984604273797
010_0,s0.206873872566986,s0.209483682970441,s23.629688987015825
010_1,s1.043883609042441,s1.592501728714200,s290.152292912948326
010_2,s1.501037523621785,s0.193939600296233,s338.608755384972824
010_3,s0.653407168173251,s0.661459404542612,s70.421019006957721
010_4,s1.504886616505120,s1.166296629136935,s336.262475404883162
010_5,s0.690169617449423,s1.264052423959404,s246.347193439755159
010_6,s1.009528789432766,s0.325529010475116,s115.558321992975493
010_7,s1.088424455553132,s0.665604725298997,s292.612786960888286
010_8,s0.618958338011386,s1.600005226307050,s66.338213924640257
010_9,s0.241504620491828,s1.108206151471616,s21.405034293246366
011_0,s0.677415932544723,s0.167218426194815,s297.079627929604158
011_1,s0.314737878759757,s0.362104480603564,s158.210579458075017
011_2,s1.062400262469369,s0.713424128842861,s339.258388617560740
011_3,s-0.258442658526188,s0.806317921818838,s28.756381870749237
011_4,s0.657165810195521,s1.186143363156092,s293.696470646072157
011_5,s-0.322140723991409,s-0.312086309072666,s23.669722005024710
011_6,s-0.306192857584136,s0.545292485142833,s203.669722005022294
011_7,s0.231078217223494,s1.187001379527854,s66.370627652216115
011_8,s0.296577190838016,s0.827587413800523,s242.098031856166301
011_9,s1.059257599945393,s-0.311825770221205,s340.763396016567810
011_10,s0.620601866051512,s-0.164296724594114,s116.829868925024712
012_0,s1.735736667691284,s1.007509122761057,s116.235631557343609
012_1,s1.337104660620821,s1.472063121544986,s117.343979900833403
012_2,s0.934473993336147,s1.940640280825692,s161.946048398483981
012_3,s0.853326830343386,s0.401126471727032,s116.905963995204530
012_4,s1.099556413623458,s0.357869337877686,s296.906036335728913
012_5,s1.793323568818413,s1.334337110880916,s340.123523824460449
012_6,s0.724067835088415,s0.812125087843476,s296.838668758793006
012_7,s0.352320492678804,s1.941241996419834,s154.466991866883745
012_8,s0.323313502943258,s1.068510858025975,s334.467031702796248
012_9,s1.400258844005060,s1.809927325767936,s295.476183996504119
012_10,s0.345990756790760,s0.763927100399466,s154.968415943417767
012_11,s1.801818278995899,s0.252351536365828,s336.370616182431093
013_0,s0.775592043398799,s1.895359438045630,s66.371288489038733
